"Advertiser name",Category,Manufacturer,"Product code","Product name","Product description","Product affiliate link","Product link","Product picture","Price without VAT","Price with VAT","Price with discount, with VAT","Price with discount, without VAT",Currency,"Free shipping",Availability,"Gift included",Size,Adult,Color,Gender,Material,Condition,"Energy efficiency class","Shipping cost","Additional product types","Google product category","Expiration date"
Colorcosmetics.ro,oje,Revlon,REVLONOJ-930,"Oja Revlon Nailpolish - Purple Petal",,//profitshare.ro/lps/jwq/K79/?redirect=http%3A%2F%2Fwww.colorcosmetics.ro%2Funghii-si-par%2Foje%2Foja-revlon-nailpolish---purple-petal.html,http://www.colorcosmetics.ro/unghii-si-par/oje/oja-revlon-nailpolish---purple-petal.html,http://www.colorcosmetics.ro/upload/produse/xxl/produs1979.jpg,17,17,13.94,13.94,lei,0,in_stock,0,,,,,,,,,,,
Colorcosmetics.ro,oje,Revlon,REVLONOJ-151,"Oja Revlon Nailpolish - Iced Mauve",,//profitshare.ro/lps/jwq/K79/?redirect=http%3A%2F%2Fwww.colorcosmetics.ro%2Funghii-si-par%2Foje%2Foja-revlon-nailpolish---iced-mauve.html,http://www.colorcosmetics.ro/unghii-si-par/oje/oja-revlon-nailpolish---iced-mauve.html,http://www.colorcosmetics.ro/upload/produse/xxl/produs1978.jpg,17,17,13.94,13.94,lei,0,in_stock,0,,,,,,,,,,,
Colorcosmetics.ro,oje,Revlon,REVLONOJ-090,"Oja Revlon Nailpolish - Posh Pink",,//profitshare.ro/lps/jwq/K79/?redirect=http%3A%2F%2Fwww.colorcosmetics.ro%2Funghii-si-par%2Foje%2Foja-revlon-nailpolish---posh-pink.html,http://www.colorcosmetics.ro/unghii-si-par/oje/oja-revlon-nailpolish---posh-pink.html,http://www.colorcosmetics.ro/upload/produse/xxl/produs1976.jpg,17,17,13.94,13.94,lei,0,in_stock,0,,,,,,,,,,,
Colorcosmetics.ro,"blush / bronzer",Nivea,NIVBLUSH-DS,"Blush pentru obraz Nivea Pure and Natural Colours Blush - Desert Sand",,//profitshare.ro/lps/jwq/K79/?redirect=http%3A%2F%2Fwww.colorcosmetics.ro%2Ften%2Fblush--bronzer%2Fblush-pentru-obraz-nivea-pure-and-natural-colours-blush---desert-sand.html,http://www.colorcosmetics.ro/ten/blush--bronzer/blush-pentru-obraz-nivea-pure-and-natural-colours-blush---desert-sand.html,http://www.colorcosmetics.ro/upload/produse/xxl/produs1972.jpg,27,27,20.25,20.25,lei,0,in_stock,0,,,,,,,,,,,
Colorcosmetics.ro,rujuri,LOreal,LOREALCRP-101,"Ruj L'Oreal Colour Riche Gelee - Shiny grafefruit - NOU",,//profitshare.ro/lps/jwq/K79/?redirect=http%3A%2F%2Fwww.colorcosmetics.ro%2Fbuze%2Frujuri%2Fruj-loreal-colour-riche-gelee---shiny-grafefruit---nou.html,http://www.colorcosmetics.ro/buze/rujuri/ruj-loreal-colour-riche-gelee---shiny-grafefruit---nou.html,http://www.colorcosmetics.ro/upload/produse/xxl/ruj-loreal-colour-riche-gelee---shiny-grafefruit---nou2536.jpg,18,18,16.02,16.02,lei,0,in_stock,0,,,,,,,,,,,
Colorcosmetics.ro,fond+de+ten,LOreal,LOREALFTVL157,"Fond de ten L'Oreal Visible Lift SPF17 Sunscreen - Classic Tan",,//profitshare.ro/lps/jwq/K79/?redirect=http%3A%2F%2Fwww.colorcosmetics.ro%2Ften%2Ffond-de-ten%2Ffond-de-ten-loreal-visible-lift-spf17-sunscreen---classic-tan.html,http://www.colorcosmetics.ro/ten/fond-de-ten/fond-de-ten-loreal-visible-lift-spf17-sunscreen---classic-tan.html,http://www.colorcosmetics.ro/upload/produse/xxl/produs1953.jpg,49,49,29.40,29.40,lei,0,in_stock,0,,,,,,,,,,,
Colorcosmetics.ro,oje,Bourjois,BOURJOIS-24,"Oja Bourjois 1 Seconde Innovation - 24",,//profitshare.ro/lps/jwq/K79/?redirect=http%3A%2F%2Fwww.colorcosmetics.ro%2Funghii-si-par%2Foje%2Foja-bourjois-1-seconde-innovation---24.html,http://www.colorcosmetics.ro/unghii-si-par/oje/oja-bourjois-1-seconde-innovation---24.html,http://www.colorcosmetics.ro/upload/produse/xxl/oja-boujrois-1-seconde-innovation---242844.jpg,22,22,,,lei,0,in_stock,0,,,,,,,,,,,
Colorcosmetics.ro,rujuri,"Calvin Klein",CKDLR-123,"Ruj Calvin Klein Delicious Luxury Creme - Henna",,//profitshare.ro/lps/jwq/K79/?redirect=http%3A%2F%2Fwww.colorcosmetics.ro%2Fbuze%2Frujuri%2Fruj-calvin-klein-delicious-luxury-creme---henna.html,http://www.colorcosmetics.ro/buze/rujuri/ruj-calvin-klein-delicious-luxury-creme---henna.html,http://www.colorcosmetics.ro/upload/produse/xxl/produs1948.jpg,25,25,,,lei,0,in_stock,0,,,,,,,,,,,
Colorcosmetics.ro,rujuri,"Calvin Klein",CKDLR-117,"Ruj Calvin Klein Delicious Luxury Creme - Heat Wave",,//profitshare.ro/lps/jwq/K79/?redirect=http%3A%2F%2Fwww.colorcosmetics.ro%2Fbuze%2Frujuri%2Fruj-calvin-klein-delicious-luxury-creme---heat-wave.html,http://www.colorcosmetics.ro/buze/rujuri/ruj-calvin-klein-delicious-luxury-creme---heat-wave.html,http://www.colorcosmetics.ro/upload/produse/xxl/produs1947.jpg,25,25,,,lei,0,in_stock,0,,,,,,,,,,,
Colorcosmetics.ro,farduri,Bourjois,BOURJOIS-94,"Fard Bourjois Ombre a paupieres - Citron Givre",,//profitshare.ro/lps/jwq/K79/?redirect=http%3A%2F%2Fwww.colorcosmetics.ro%2Fochi%2Ffarduri%2Ffard-bourjois-ombre-a-paupieres---citron-givre.html,http://www.colorcosmetics.ro/ochi/farduri/fard-bourjois-ombre-a-paupieres---citron-givre.html,http://www.colorcosmetics.ro/upload/produse/xxl/fard-bourjois-ombre-a-paupieres---citron-givre2661.jpg,33,33,23.76,23.76,lei,0,in_stock,0,,,,,,,,,,,
